"lipid","logFC","logCPM","LR","PValue","FDR","Length1","Length2","Title_1","Title_2","type","AK0139","AK0161","AK0170","AK0200","AK0202","AK0204","AK0141","AK0145","AK0164","AK0174","AK0175","Blank-1x"
"FA(20:1)",5.882389549612,7.57792130476891,238.585283712152,8.001668333879e-54,1.19784974958169e-50,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","FA",0,3379318.67854309,0,621.220035552979,0,0,0,0,3059.62016296387,0,0,7982.56058883667
"Cer(d20:0/26:0)",2.26484762320406,7.41165956829559,50.5782099270073,1.14509364275741e-12,8.57102591603921e-10,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","Cer",119396.549568176,17428.9810638428,61308.323261261,893802.460243225,968973.73274231,19325.5815467834,9979.92060470581,8751.64050674438,37503.2825317383,5352.4203414917,241364.854721069,3579.96025466919
"FA(18:4)",2.0093888537889,9.53190747574321,40.6925798922675,1.78162413986591e-10,8.89030445793089e-08,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","FA",2766427.40846252,277756.256546021,157985.929824829,5584907.98735046,244249.339859009,195256.114700317,203098.412918091,276223.48274231,138757.32951355,443590.68812561,190616.350784302,127843.58934021
"FA(18:2)",1.93110312534054,11.4640696956314,37.8269118155295,7.73079182621469e-10,2.89324884096085e-07,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","FA",30191300.7574158,1558110.95495605,839126.479949951,3514559.23947144,988623.813236237,1777165.06600952,1231690.77023315,1967880.55032349,583123.645355225,2338579.95651245,1027868.82949829,191511.093414307
"Cer(t18:0/26:0(2OH))",1.82293272380391,5.66715202286628,33.9962330562739,5.52188733518265e-09,1.65325306815368e-06,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","Cer",7095.62049484253,9201.60073852539,27175.7219581604,222048.916614532,273462.152320862,11763.2808418274,2002.72012329102,3633.54023742676,17092.3412208557,1600.9600944519,81429.6043510437,3491.1802482605
"FA(20:0)",1.68868825111374,4.04098567548242,29.4677035350894,5.68562980572783e-08,1.41856463652909e-05,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","FA",0,121162.129688263,0,0,0,0,0,0,0,0,0,7982.38060760498
"FA(24:5)",1.38313026225668,11.7415395944987,20.2229811276193,6.89199922908797e-06,0.00147390326370638,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","FA",27500316.6989212,2545301.88553619,1304838.31241608,4275245.3841629,1299196.59632111,2316630.53650665,2952170.39279938,2603599.64093781,1272705.07724762,2550693.71349335,1114403.14557648,505308.332206726
"FA(20:4)",1.11240596966969,6.30698821947979,13.3112380463608,0.000263820108588269,0.0438820780618488,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","FA",0,403826.526016235,0,549767.386711121,0,0,0,79810.2262840271,237855.036712646,0,0,7981.20063018799
"FA(22:1)",1.1155318721881,10.8948387911063,13.3845983819338,0.000253698969386723,0.0438820780618488,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","FA",13225753.4808121,1611107.09728622,861877.853736877,2404048.30301666,1084788.86060333,2032801.4240799,1676636.91104889,1746553.02610016,842853.331672668,2070993.01348114,872988.122657776,229673.779502869
"Cer(d18:1/18:1(9Z))",0.923794770264058,5.14795988513942,9.27948105986025,0.0023173507229109,0.346907403219762,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","Cer",18961.5813598633,54036.3835678101,39187.6426467896,43536.4629707336,108505.570152283,73694.4848518372,23528.621711731,20489.4214897156,15906.6211242676,40811.5227241516,42113.5825233459,3572.06025314331
"Cer(d18:1/18:0)",0.871464275289423,5.22901445623929,8.28137884917942,0.00400537016087299,0.545094466438807,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","Cer",19834.4613494873,59808.1440849304,40776.2036056519,46726.7432136536,111369.665866852,78834.3850212097,23957.9816627502,22941.2820091248,16070.7812843323,45303.0422477722,47628.1634292603,3574.840259552
"CerP(d18:1/12:0)",0.825108562060533,5.16907568224537,7.44175007174726,0.00637278907054473,0.723518934222518,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","Cer",16974.861618042,57952.1243438721,35139.1417999268,43763.1226654053,108421.105743408,74064.144618988,23217.5017127991,16844.3212089539,16388.9010047913,47874.523639679,47626.2642250061,3562.30025863647
"PG(32:5)",0.827013552460966,7.41407560806749,7.47656908635781,0.00625070670907091,0.723518934222518,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","PG",136392.369750977,125069.867004395,95709.7255859375,136721.588928223,89889.0458984375,968376.795898438,183987.174316406,121890.629516602,134092.69152832,116681.650085449,72119.4654541016,37450.0424804688
"PS(32:5)",0.818915816131585,7.58135020958353,7.33396148419956,0.00676637613835354,0.723518934222518,6,5,"Genotype_ cKO | time point_ healthy","Genotype_ WT | time point_ healthy","PS",162026.730102539,161665.13092041,118457.108459473,165248.971557617,98956.6682128906,1089713.44110107,204131.715270996,127600.868713379,167973.870788574,152074.212219238,89106.7869873047,37987.5827026367
