lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,AK0141,AK0145,AK0164,AK0174,AK0175,AK0144,AK0147,AK0154,AK0155,AK0166,AK0168,Blank-1x
FA(20:0),9.166301163,10.67612972,355.4890645,2.70E-79,4.05E-76,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,FA,7961.520512,7977.600578,7975.580578,7970.800552,7956.640556,7962.060558,7282259.104,3481641.436,1868761.908,7970.640549,7967.440536,7982.380608
FA(20:1),7.420773988,9.042434818,270.3908446,9.33E-61,6.98E-58,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,FA,7953.260529,7976.28059,11042.18075,7964.840519,7953.040558,7961.680531,1986363.87,1209698.309,838526.0964,7981.800571,7960.600533,7982.560589
FA(19:0),-3.948116356,10.89633019,121.3066044,3.27E-28,1.63E-25,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,FA,12380.76085,17100273.71,13906721.65,18006.80114,7951.920563,7960.260559,1059006.323,8068.94059,23827.90169,7966.140564,7956.36055,10814.50089
Cer(d20:0/26:0(2OH)),-2.608794852,6.530738365,58.76489972,1.78E-14,6.65E-12,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,Cer,27834.36223,47042.62386,36811.4826,934894.2045,190485.757,23498.32155,10131.40075,15790.52109,33796.60207,18896.80145,25157.80186,11815.6608
FA(20:3),2.647212462,7.721470676,54.93072843,1.25E-13,3.74E-11,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,FA,7954.860535,19220.86146,391500.4482,7964.82056,7953.920544,7961.20052,601637.4836,440364.6297,368083.647,7967.140556,7957.880539,7980.98061
FA(18:1),-2.039205701,9.216662951,37.16330518,1.09E-09,2.71E-07,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,FA,1138694.064,1552003.739,915327.4682,1626866.467,1097749.074,13787.30093,7953.660561,7970.760578,7946.760551,909280.2488,9939.860661,238230.0756
FA(15:1),1.889966805,11.32723209,29.91740389,4.51E-08,9.64E-06,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,FA,979850.5885,968810.4744,860388.901,1112653.844,1348329.63,3027454.52,2725583.995,1562332.997,1924519.32,1563118.148,1509064.062,1725227.109
FA(18:0),-1.795609401,12.86936651,29.16505612,6.65E-08,1.24E-05,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,FA,9800657.346,14504722.1,9520386.383,13695625.02,12505735.23,9615.780659,7956.460571,7970.400574,7948.500526,10898688.57,7958.540504,5543847.184
PI(38:7),1.84366851,10.44408295,28.575457,9.01E-08,1.50E-05,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,PI,195565.8953,298579.2418,439657.6077,350556.4214,2336523.448,1355653.263,2403551.46,1299149.879,2572249.93,445671.1892,1684534.108,23601.92147
FA(20:4),1.802552429,6.76231516,27.40274522,1.65E-07,2.47E-05,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,FA,7954.080547,87791.42691,245836.2373,7965.160572,7951.840534,7961.320515,249878.6178,167608.1119,241488.2369,7966.700584,7959.260536,7981.20063
PI(14:1),1.650406661,2.839961453,23.22078647,1.44E-06,1.97E-04,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,PI,4868.380413,5953.940464,5064.360424,4037.120308,3309.700226,6856.800373,8058.460571,8416.520535,7662.880554,7386.060532,4264.680313,1559.740112
LPI(14:1),1.552022696,2.822446346,20.68490323,5.41E-06,6.75E-04,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,PI,4635.6003,6003.240398,4935.020409,4880.340359,3540.800301,5583.24033,8292.760605,8408.820576,7331.460545,7254.720478,4282.38026,1611.620113
LPG(18:4),-1.47948393,10.23475611,20.05706875,7.52E-06,8.66E-04,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,PG,969096.6824,903768.1249,1190525.329,949961.8806,165826.9088,151242.47,126781.0096,114769.2092,159162.1886,144929.27,171985.7089,1838982.055
PG(18:4),-1.440717405,10.2512718,19.04563014,1.28E-05,0.001364726,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,PG,954621.5808,885081.4679,1191058.334,948936.4377,171843.7135,153573.4704,126295.089,121546.2281,165782.393,143573.2103,175705.2291,1866382.387
[TG(56:8)]_FA18:1,1.405849187,10.23459664,17.16693431,3.42E-05,0.003416591,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,TAG,686091.8695,338822.4247,506240.2776,434245.5083,2223288.54,2196327.047,1072620.075,578654.0443,1161252.717,1441309.276,1723577.029,28634.50214
Cer(d20:0/26:0),1.38522718,6.661817762,16.68945424,4.40E-05,0.004119094,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,Cer,13559.88086,12331.60076,41083.24279,8932.380596,244944.815,181543.99,9119.040638,299336.809,33998.30195,21699.90155,31783.66213,3579.960255
[TG(54:7)]_FA16:0,1.345363164,10.28003192,15.78660546,7.09E-05,0.006243608,5,6,Genotype_ WT | time point_ healthy,Genotype_ WT | time point_ 28d ISCI,TAG,799887.2595,376857.1051,571790.4557,448614.4134,2311910.829,2383097.842,1087819.719,503926.8719,1161062.68,1534512.461,1722189.735,24154.86188
