lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,AK0139,AK0161,AK0170,AK0200,AK0202,AK0204,AK0135,AK0140,AK0142,AK0157,AK0169,Blank-1x
FA(20:0),7.484843652,10.4627697,367.6773234,6.00E-82,8.98E-79,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,FA,7966.260536,129144.5103,7959.200504,7964.340546,7952.040527,7947.500576,7961.160515,553515.1601,6023808.559,6672667.421,7981.580582,7982.380608
FA(19:0),-4.091610062,10.87788732,131.1830095,2.26E-30,1.69E-27,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,FA,2527474.607,15742885.02,21070.66156,15163135.98,7946.460529,7939.080551,7954.340511,82892.9459,403670.6225,337770.3256,14175.24091,10814.50089
LPG(19:0),2.60842889,8.651799159,67.74658329,1.86E-16,9.28E-14,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,PG,179186.7509,183937.9532,151746.9506,171232.1931,127475.0684,159951.4125,162826.5712,132018.7695,122010.1708,2211113.559,176559.6553,88345.44666
PG(O-20:0),2.59360948,8.640865943,67.04521761,2.65E-16,9.93E-14,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,PG,181747.5537,184163.9726,136698.6715,174197.6755,128417.1281,167486.8519,164372.2311,133047.8274,122954.1703,2180103.733,168507.8904,89735.94641
FA(18:2),-2.496082283,11.37900309,57.10240416,4.14E-14,1.24E-11,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,FA,30382811.85,1749622.048,1030637.573,3706070.333,1180134.907,1968676.159,1040349.216,160454.2922,7957.600548,7950.060547,3332640.41,191511.0934
LPS(19:0),2.057912191,8.986177474,43.59619367,4.04E-11,1.01E-08,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,PS,281896.98,309416.9832,234416.1973,275406.821,204500.4756,255756.1953,258540.7581,210622.9978,182826.5952,2203699.308,290594.5824,161312.1919
PS(O-20:0),2.046477091,8.88814644,43.13933009,5.10E-11,1.09E-08,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,PS,267884.7202,294503.0242,227207.9974,273074.8199,192258.2146,253803.5781,256120.078,198072.616,183947.2091,2106511.736,265162.4607,133555.9911
FA(20:3),1.922652522,7.765881048,38.31982928,6.00E-10,1.12E-07,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,FA,7961.540562,899622.759,7953.980541,20633.40142,7945.320518,7940.040546,7956.240555,223156.9365,696611.2299,627392.7228,7978.120544,7980.98061
PI(38:7),1.913078671,10.26193484,37.95811765,7.23E-10,1.20E-07,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,PI,452580.5347,380938.3259,305529.5638,134219.829,2377474.354,387633.4675,875462.5455,2002109.792,3259074.746,1015253.824,3191525.5,23601.92147
FA(20:1),1.777724821,9.476806587,32.98786356,9.27E-09,1.39E-06,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,FA,7964.540581,3387301.239,7954.940529,8603.780624,7946.740524,7940.500557,7957.380547,140044.9894,2109567.696,2693742.127,7978.540581,7982.560589
[TG(54:7)]_FA16:0,1.755187928,10.47065149,32.18954516,1.40E-08,1.90E-06,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,TAG,585770.8421,487220.3315,391416.9269,511361.9539,2768370.051,454828.3284,2041557.714,998363.0891,1560656.896,1324824.113,6912525.978,24154.86188
[TG(56:8)]_FA18:1,1.678678069,10.3565338,29.54249441,5.47E-08,6.82E-06,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,TAG,521313.4551,494805.2168,406284.0472,529813.2383,2593478.864,463341.0951,1883734.082,914075.9054,1447974.949,1295389.277,6058347.846,28634.50214
[TG(56:7)]_FA18:0,1.629843058,10.70046742,27.9051676,1.27E-07,1.47E-05,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,TAG,781737.5592,676558.5472,542158.3009,708741.809,3261971.276,644395.7591,2383518.34,1184902.606,1850672.401,1548525.204,7715585.222,23058.56154
PG(18:4),-1.636904813,10.51968392,26.39078829,2.79E-07,2.98E-05,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,PG,972887.1848,960278.972,1100950.308,1015164.61,205683.8736,979080.712,287177.5995,158612.0699,146954.5298,141085.088,203034.4564,1866382.387
LPG(18:4),-1.617806172,10.50170129,25.81539125,3.76E-07,3.75E-05,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,PG,939979.0143,963266.1489,1111415.638,1019557.468,190692.7772,969426.8099,287372.0776,159701.9297,145450.8512,146091.0924,201000.6764,1838982.055
[TG(54:8)]_FA16:1,1.459681715,10.08474899,22.52737248,2.07E-06,1.73E-04,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,TAG,693039.7123,547743.8662,430548.4067,595706.5602,2005208.148,542109.1633,1579035.663,793672.1771,1116935.946,943824.3231,4770038.157,29435.76212
LPG(21:0),1.462446251,7.760796765,22.60988851,1.98E-06,1.73E-04,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,PG,171947.5734,173863.6108,146445.9699,168361.1735,126808.1293,170644.2108,146923.5111,115403.3893,101265.1063,806244.6118,139284.0712,51033.48358
PG(20:0),1.457133486,7.76519449,22.45010154,2.16E-06,1.73E-04,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,PG,180711.4928,171037.2719,147928.5106,170952.9745,132131.2887,162878.5699,144767.8298,117892.8876,102105.2053,805834.4593,149528.8691,49674.82373
PI(O-40:5) | PI(P-40:4),-1.501066443,10.34422735,22.41500297,2.20E-06,1.73E-04,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,PI,2905893.257,4614986.858,3638184.947,1417036.095,598445.4322,4210408.349,354633.1042,1019139.505,929229.1578,409421.4009,422177.2483,39443.00281
FA(15:1),1.423622058,11.09031335,21.45475352,3.62E-06,2.71E-04,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,FA,1283359.539,598373.7832,1033582.396,854112.2635,1100277.96,1055318.616,1577863.007,1443441.734,1777239.845,2298313.915,1828271.542,1725227.109
PI(O-42:6),-1.453986681,11.08735038,21.10149579,4.36E-06,3.11E-04,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,PI,4737741.291,5619288.578,6080152.113,3104774.724,1786963.45,7478849.997,1405842.762,1452097.629,1583212.551,605762.0561,614715.9608,18925.9013
PS(O-40:4),1.343831521,8.256334101,19.16641417,1.20E-05,8.15E-04,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,PS,322036.2989,281275.0427,215741.8131,264810.1829,181786.275,279711.5786,501007.0325,435049.2697,388076.4082,368047.0046,505994.6783,39735.94287
PI(O-40:6) | PI(P-40:5),-1.321998435,14.24399,17.60314113,2.72E-05,0.001771267,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,PI,44991590.14,57428238.89,49895611.16,23233108.13,19312869.89,56021330.68,9760794.802,16505503.03,15160026.52,5749710.802,6225352.02,18200.38123
LPG(15:0) | PG(O-16:0)_2,1.280105197,1.526889084,17.36358917,3.09E-05,0.001925411,6,5,Genotype_ cKO | time point_ healthy,Genotype_ cKO | time point_ 28d ISCI,PG,1691.380119,1705.8601,1875.96014,1587.580109,1743.140102,1912.460136,2014.340118,1846.86013,6181.240234,1921.560143,1933.94014,1658.920128
