lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,AK0139,AK0161,AK0170,AK0200,AK0202,AK0204,AK0141,AK0145,AK0164,AK0174,AK0175,Blank-1x
FA(20:1),5.882389549612,7.577921304768907,238.58528371215226,8.001668333878998e-54,1.197849749581686e-50,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,FA,7964.540580749512,3387301.2391319275,7954.940528869629,8603.780624389648,7946.740524291992,7940.500556945801,7953.260528564453,7976.280590057373,11042.180751800535,7964.840518951416,7953.040557861328,7982.56058883667
Cer(d20:0/26:0),2.264847623204064,7.411659568295591,50.578209927007265,1.1450936427574095e-12,8.57102591603921e-10,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,Cer,122976.50982284546,21008.941318511963,64888.283515930176,897382.4204978943,972553.6929969788,22905.541801452637,13559.880859375,12331.600761413574,41083.24278640747,8932.380596160889,244944.81497573853,3579.9602546691895
FA(18:4),2.0093888537889004,9.531907475743209,40.69257989226753,1.7816241398659093e-10,8.890304457930887e-8,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,FA,2894270.9978027344,405599.84588623047,285829.51916503906,5712751.576690674,372092.9291992187,323099.70404052734,330942.0022583008,404067.07208251953,266600.91885375977,571434.2774658203,318459.9401245117,127843.58934020996
FA(18:2),1.9311031253405397,11.464069695631416,37.826911815529456,7.730791826214695e-10,2.8932488409608496e-7,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,FA,30382811.85083008,1749622.048370361,1030637.5733642578,3706070.332885742,1180134.9066505432,1968676.159423828,1423201.863647461,2159391.643737793,774634.73876953125,2530091.049926758,1219379.9229125977,191511.09341430664
Cer(t18:0/26:0(2OH)),1.8229327238039088,5.667152022866279,33.99623305627392,5.521887335182646e-9,1.653253068153684e-6,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,Cer,10586.800743103027,12692.780986785889,30666.9022064209,225540.09686279297,276953.3325691223,15254.46109008789,5493.900371551514,7124.720485687256,20583.52146911621,5092.140342712402,84920.7845993042,3491.180248260498
FA(20:0),1.6886882511137424,4.040985675482423,29.467703535089413,5.6856298057278325e-8,1.4185646365290942e-5,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,FA,7966.260536193848,129144.51029586792,7959.200504302979,7964.340545654297,7952.04052734375,7947.500576019287,7961.520511627197,7977.6005783081055,7975.580577850342,7970.800552368164,7956.640556335449,7982.3806076049805
FA(24:5),1.383130262256682,11.741539594498718,20.222981127619285,6.891999229087969e-6,0.0014739032637063844,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,FA,28005625.03112793,3050610.21774292,1810146.6446228027,4780553.716369629,1804504.928527832,2821938.868713379,3457478.7250061035,3108907.9731445313,1778013.4094543457,3056002.0457000732,1619711.4777832031,505308.3322067261
FA(20:4),1.1124059696696897,6.30698821947979,13.311238046360813,2.638201085882693e-4,0.043882078061848795,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,FA,7961.700527191162,411807.72664642334,7953.760566711426,557748.5873413086,7944.300537109375,7940.780578613281,7954.080547332764,87791.42691421509,245836.23734283447,7965.160572052002,7951.840534210205,7981.200630187988
FA(22:1),1.1155318721881031,10.894838791106329,13.384598381933756,2.5369896938672254e-4,0.043882078061848795,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,FA,13455427.26031494,1840780.876789093,1091551.633239746,2633722.0825195313,1314462.6401062012,2262475.2035827637,1906310.6905517576,1976226.805603027,1072527.111175537,2300666.792984009,1102661.9021606443,229673.77950286865
Cer(d18:1/18:1(9Z)),0.9237947702640583,5.147959885139421,9.279481059860249,0.0023173507229109,0.3469074032197617,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,Cer,22533.64161300659,57608.44382095337,42759.70289993286,47108.52322387695,112077.63040542604,77266.54510498047,27100.681964874268,24061.481742858887,19478.68137741089,44383.58297729492,45685.64277648926,3572.0602531433105
Cer(d18:1/18:0),0.8714642752894229,5.229014456239295,8.281378849179418,0.004005370160872995,0.5450944664388067,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,Cer,23409.301609039307,63382.98434448242,44351.04386520386,50301.58347320557,114944.5061264038,82409.22528076172,27532.82192230225,26516.12226867676,19645.621543884277,48877.88250732422,51203.003688812256,3574.840259552002
CerP(d18:1/12:0),0.8251085620605327,5.1690756822453725,7.441750071747265,0.00637278907054473,0.7235189342225179,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,Cer,20537.161876678467,61514.424602508545,38701.44205856323,47325.42292404175,111983.40600204468,77626.44487762451,26779.801971435547,20406.621467590332,19951.201263427734,51436.82389831543,51188.56448364258,3562.3002586364746
PG(32:5),0.8270135524609663,7.4140756080674945,7.476569086357809,0.006250706709070914,0.7235189342225179,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,PG,173842.4122314453,162519.90948486328,133159.76806640625,174171.6314086914,127339.08837890624,1005826.8383789063,221437.216796875,159340.6719970703,171542.73400878906,154131.69256591797,109569.50793457033,37450.04248046875
PS(32:5),0.8189158161315849,7.581350209583529,7.333961484199559,0.006766376138353541,0.7235189342225179,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,PS,200014.31280517575,199652.71362304688,156444.69116210938,203236.5542602539,136944.25091552734,1127701.023803711,242119.2979736328,165588.45141601563,205961.45349121097,190061.794921875,127094.3696899414,37987.58270263672
FA(20:3),0.7813788584816673,6.3367324047407045,6.68949727332074,0.00969825499735164,0.9678858487356937,6,5,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,FA,7961.540561676025,899622.7589912415,7953.980541229248,20633.40142059326,7945.320518493652,7940.040546417236,7954.860534667969,19220.861457824707,391500.4481658935,7964.820560455322,7953.920543670654,7980.980609893799
