lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,AK0144,AK0147,AK0154,AK0155,AK0166,AK0168,AK0141,AK0145,AK0164,AK0174,AK0175,Blank-1x
FA(20:0),9.166301163362835,10.676129721024724,355.4890644749385,2.7029884658001775e-79,4.046373733302866e-76,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,7962.060558319092,7282259.104370117,3481641.4356536865,1868761.908214569,7970.640548706055,7967.440536499023,7961.520511627197,7977.6005783081055,7975.580577850342,7970.800552368164,7956.640556335449,7982.3806076049805
FA(20:1),7.42077398809975,9.042434818475202,270.39084464503117,9.326669566170238e-61,6.981012170278423e-58,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,7961.680530548096,1986363.870147705,1209698.3086586,838526.0964393616,7981.80057144165,7960.600532531738,7953.260528564453,7976.280590057373,11042.180751800535,7964.840518951416,7953.040557861328,7982.56058883667
FA(19:0),-3.94811635568401,10.896330194926897,121.30660441985123,3.2741169445269247e-28,1.6337843553189354e-25,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,7960.260559082031,1059006.3234291077,8068.940589904785,23827.90168762207,7966.140563964844,7956.360549926758,12380.760848999023,17100273.705768585,13906721.654541016,18006.801136016846,7951.920562744141,10814.50089263916
Cer(d20:0/26:0(2OH)),-2.6087948516362593,6.530738365187106,58.7648997206102,1.776829057620528e-14,6.649782748144826e-12,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,Cer,23498.32154846191,10131.400749206545,15790.521091461182,33796.60206604004,18896.801445007324,25157.801864624023,27834.362232208252,47042.62385940552,36811.48260116577,934894.2044754028,190485.75704956055,11815.660804748535
FA(20:3),2.6472124617011787,7.721470675663907,54.93072842585025,1.2485362886154526e-13,3.738117648114665e-11,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,7961.200519561768,601637.4836425781,440364.6297492981,368083.64696502686,7967.140556335449,7957.88053894043,7954.860534667969,19220.861457824707,391500.4481658935,7964.820560455322,7953.920543670654,7980.980609893799
FA(18:1),-2.0392057005238913,9.21666295107532,37.163305177295115,1.086389596427052e-9,2.7105420430854947e-7,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,13787.300930023192,7953.66056060791,7970.760578155518,7946.760551452637,909280.2488098145,9939.86066055298,1138694.0641479492,1552003.7389526367,915327.4682312012,1626866.467254639,1097749.0740356443,238230.0756225586
FA(15:1),1.8899668047262559,11.32723209048873,29.917403887053297,4.508477727166318e-8,9.64170165366854e-6,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,3027454.519836426,2725583.9951782227,1562332.9965820313,1924519.3202514648,1563118.1477661133,1509064.061767578,979850.5885009766,968810.4743652344,860388.900970459,1112653.8436279297,1348329.6302490234,1725227.109222412
FA(18:0),-1.7956094010234687,12.86936651441161,29.165056115916514,6.646721604721383e-8,1.2437677802834887e-5,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,9615.780658721924,7956.4605712890625,7970.400573730469,7948.500526428223,10898688.570976255,7958.540504455566,9800657.346191406,14504722.104736328,9520386.383178713,13695625.021362305,12505735.22674179,5543847.183898926
PI(38:7),1.8436685099045445,10.444082947767297,28.575457000901217,9.011720578229517e-8,1.4989495228455098e-5,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,PI,1355653.2633361816,2403551.4604492188,1299149.878540039,2572249.9302368164,445671.1892089844,1684534.1083526611,195565.89532470703,298579.24182128906,439657.6076660156,350556.4214477539,2336523.4484710693,23601.92147064209
FA(20:4),1.802552428783173,6.762315159816737,27.402745219929784,1.6519656166154307e-7,2.4729925280732997e-5,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,7961.320514678955,249878.6177520752,167608.11192703247,241488.23692703247,7966.700584411621,7959.260536193848,7954.080547332764,87791.42691421509,245836.23734283447,7965.160572052002,7951.840534210205,7981.200630187988
PI(14:1),1.6504066611957802,2.839961452872729,23.220786465519573,1.4442776576692423e-6,1.9655305941189598e-4,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,PI,6856.800373077393,8058.4605712890625,8416.52053451538,7662.880554199219,7386.060531616211,4264.680313110352,4868.38041305542,5953.940464019775,5064.360424041748,4037.1203079223633,3309.700225830078,1559.7401123046875
LPI(14:1),1.5520226961533892,2.822446345867456,20.684903231737962,5.414118924433084e-6,6.754113358230272e-4,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,PI,5583.240329742432,8292.760604858398,8408.820575714111,7331.460544586182,7254.720478057861,4282.380260467529,4635.600299835205,6003.240398406982,4935.020408630371,4880.340358734131,3540.8003005981445,1611.6201133728027
LPG(18:4),-1.4794839304741365,10.23475611457093,20.05706875001089,7.516518451963633e-6,8.655560094299661e-4,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,PG,151242.47003173828,126781.00955200195,114769.20919799805,159162.1885986328,144929.26998901367,171985.7088623047,969096.682434082,903768.1249389648,1190525.328918457,949961.8805541992,165826.90878295898,1838982.054840088
PG(18:4),-1.4407174048438527,10.25127180004417,19.045630142354014,1.2762970069577898e-5,0.0013647261567255795,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,PG,153573.47039794922,126295.0889892578,121546.2280883789,165782.39303588867,143573.21032714844,175705.22912597656,954621.5808105468,885081.4678649902,1191058.3344726563,948936.437713623,171843.71353149414,1866382.3871765137
[TG(56:8)]_FA18:1,1.4058491871246679,10.234596644477728,17.166934310545912,3.4234373947339556e-5,0.003416590519944488,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,TAG,2196327.046875,1072620.0753173828,578654.044342041,1161252.7171020508,1441309.275604248,1723577.0290222168,686091.8695373535,338822.42474365234,506240.2775878906,434245.5083007813,2223288.5395507813,28634.50213623047
Cer(d20:0/26:0),1.3852271801271956,6.661817761578518,16.689454238636245,4.402505194312345e-5,0.004119093922428488,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,Cer,181543.9899520874,9119.04063796997,299336.8090324402,33998.30194854736,21699.901554107662,31783.662128448486,13559.880859375,12331.600761413574,41083.24278640747,8932.380596160889,244944.81497573853,3579.9602546691895
[TG(54:7)]_FA16:0,1.3453631641477277,10.280031918029621,15.786605457578844,7.090269283171414e-5,0.0062436077158280045,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,TAG,2383097.8423461914,1087819.7194519043,503926.8719482422,1161062.6803588867,1534512.4609985352,1722189.7348632813,799887.2595214844,376857.10510253906,571790.4557495117,448614.4133605957,2311910.8286132813,24154.861877441406
[TG(56:7)]_FA18:0,1.299677034931939,10.532264336475121,14.777712594310284,1.2095667017252975e-4,0.010059563069348725,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,TAG,2767919.0275268555,1308515.7038879397,615469.5682067871,1345158.3837890625,1807071.7772827148,2089486.5534973145,943152.2005615234,495628.2917480469,729483.5670776367,590166.0640869141,2770914.8376464844,23058.56153869629
O-oleoylcarnitine | Elaidic carnitine,1.2113772438460007,12.218547531623397,12.911806355592812,3.2651603370888947e-4,0.025726026445379344,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,CAR,4500714.607421875,4666630.671875,4017380.48828125,5047570.275390625,4452473.4208984375,4604750.220703125,3820394.434570313,3214902.0576171875,3751924.938720703,3531222.8725585938,4466181.607177734,1027604.6534309388
"Linoelaidyl carnitine | O-linoleoylcarnitine | 9,12-Hexadecadienylcarnitine",1.167273017134687,12.409860752079734,12.022097908088883,5.257349319423712e-4,0.03935125965588648,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,CAR,4804016.552734375,5700394.2607421875,4870150.984375,5422371.9921875,5025861.2890625,5150018.9140625,4480439.955322266,4243113.879394531,4565989.5703125,3877340.134521485,5025627.596435547,1090622.9429779053
LPS(18:4),-1.118808431712655,8.51415120656223,11.592334024293905,6.622424308908281e-4,0.045062587229253166,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,PS,198029.7762451172,157317.0897216797,132398.85089111328,195511.25289916992,178428.8519897461,219154.41619873047,949160.8772583008,807557.5288696289,1060667.426696777,939606.6330566406,241335.79766845703,45608.60339355469
LPS(18:4)_2,-1.121582579909988,8.52573370907997,11.649151007990895,6.423184293259121e-4,0.045062587229253166,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,PS,190909.2952880859,153063.43090820313,136542.65139770508,197616.27642822263,185659.17279052737,221053.77416992188,978788.0674438477,814501.9982910156,1080098.038269043,922796.4549560548,234472.9327392578,47694.24353027344
FA(15:0),1.1377999126690155,10.050070988906784,11.44345097696123,7.174641825270741e-4,0.046697560054044775,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,997021.3467407228,1118561.9372558594,778223.2125244141,848283.256652832,661402.5719604492,934859.0604248048,834350.65869140625,795665.3126220703,583804.8407592773,856296.7023925781,845644.2795410156,440589.41314697266
[TG(60:0)]_FA20:0,-1.0990495250754446,12.233465860497018,11.191709009275844,8.216363403349938e-4,0.05124956672839524,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,TAG,2463314.044784546,2171017.9050445557,846464.6287689209,4454106.3921432495,2212859.373901367,2325996.9694366455,14721373.263946531,5769923.573944092,17261400.440689087,9908253.45072937,4113676.90335083,722759.3523254395
FA(17:0),1.113080702488589,11.152193134556931,10.96822640922619,9.268742795315655e-4,0.055501231858350146,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,2286791.912841797,1995212.1161499023,1831251.682800293,1952648.1799316409,1742066.2689819336,2260687.88079834,1648479.063659668,2098835.010498047,1361150.7901000977,2055697.992553711,1811502.19921875,741267.45263671875
Stearidonyl carnitine,1.1029040917431188,12.398042395948732,10.775248625546155,0.0010286639758071957,0.05922730660705277,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,CAR,4985346.634765625,5221485.51953125,4340170.6064453125,5567244.859375,5136975.0703125,5288394.716796875,4631399.168701172,4309436.866699219,4759639.525878906,3902662.3383789063,5111208.078125,1100202.3172302246
PG(42:9),1.092656670363662,8.03821121083017,10.582212826247542,0.0011418090769930232,0.06330696993550207,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,PG,201335.05584716797,192109.05657958984,334137.2247619629,210534.51300048828,317066.8073120117,243110.3572998047,300610.6636352539,178812.89361572266,214419.5157470703,186970.27423095703,276972.53790283203,34404.86260986328
Stearoylcarnitine | hexadecanedioic acid mono-L-carnitine ester,1.0862895046384982,12.634992904553895,10.463506030919257,0.0012175597435363347,0.06509596200263904,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,CAR,6132615.287597656,6469562.666015625,5223586.8046875,6378907.953125,6138234.349609375,6154790.33203125,5946048.796875,5076820.900878906,6029775.671386719,4622050.814941406,5989204.472900391,1062245.1694755554
PE(22:2),-1.024029034393616,9.038449227850679,9.730789394114256,0.0018120664657016567,0.09354012066053034,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,PE,68475.44471740723,124172.66891479492,123578.47146606444,155409.0675048828,59948.883529663086,75330.52544784546,574898.6430053711,553507.6569213867,308893.14111328125,579248.9092712402,169551.69134521484,696946.32470703125
[TG(54:8)]_FA16:1,1.0196022341510966,9.868535768043614,9.254444818441698,0.0023492454283696763,0.11325956318116398,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,TAG,1680002.4024047852,767312.7281494141,354024.8701171875,841230.806640625,1054051.1451721191,1208335.341430664,920893.0480957032,422396.1466064453,670988.1032714844,521940.2178955078,1650470.9374084473,29435.762115478516
3-hydroxypalmitoleoylcarnitine | Heptadecanoyl carnitine,1.0177467961408315,11.646655976052559,9.22182809903461,0.0023914664110468494,0.11325956318116398,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,CAR,3062052.8403320313,3153356.01953125,2552459.2861328125,3251961.6025390625,2805499.6357421875,3039220.544921875,3025970.2006835938,2565661.3549804688,3068166.078125,2327843.1586914063,3155632.5205078125,638254.4590263367
FA(18:4),1.016473740735073,8.785247676404206,9.199323294022179,0.0024210461067449883,0.11325956318116398,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,324024.7848510742,11947.060859680176,30201.92222976685,1258506.1556625366,490802.613861084,414682.72622680664,330942.0022583008,404067.07208251953,266600.91885375977,571434.2774658203,318459.9401245117,127843.58934020996
Arachidyl carnitine | O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine,1.0086588083180177,10.503280987374648,9.062592980360932,0.002608917420464797,0.11486909936575887,6,5,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,CAR,1266553.0290527344,1292452.126586914,1151711.2175292969,1514329.3736572266,1364969.7358398438,1509588.7058105469,1351702.4118652344,1218282.745361328,1247825.5977783203,1338478.732055664,1319755.1290283203,292378.04011917114
