"lipid","type","mean1","mean2"
"FA(20:0)","FA",2101452.55106926,0
"FA(20:1)","FA",668440.098913193,611.924032592773
"FA(19:0)","FA",176867.537221909,6198824.98374481
"Cer(d20:0/26:0(2OH))","Cer",9676.9573319753,235598.0252388
"FA(20:3)","FA",231023.80308787,78951.8696807861
"FA(18:1)","FA",111841.695531209,1027898.08690186
"FA(15:1)","FA",416979.417933146,0
"FA(18:0)","FA",892473.564512888,6461578.03254318
"PI(38:7)","PI",1603199.71688334,700574.601475525
"FA(20:4)","FA",105838.560785929,63533.0525993347
"PI(14:1)","PI",5547.82703399658,3086.96025466919
"LPI(14:1)","PI",5247.27701886495,3187.38023986816
"LPG(18:4)","PG",0,0
"PG(18:4)","PG",0,0
"[TG(56:8)]_FA18:1","TAG",1333655.52924093,809103.221807861
"Cer(d20:0/26:0)","Cer",92666.990620931,60590.4237411499
"[TG(54:7)]_FA16:0","TAG",1374613.3564504,877657.150592041
"[TG(56:7)]_FA18:0","TAG",1632544.94082642,1082810.43068542
"O-oleoylcarnitine | Elaidic carnitine","CAR",3520648.62733078,2729320.52869797
"Linoelaidyl carnitine | O-linoleoylcarnitine | 9,12-Hexadecadienylcarnitine","CAR",4071512.72254944,3347879.28421936
"LPS(18:4)","PS",134531.436264038,754057.049316406
"LPS(18:4)_2","PS",133113.189966838,758437.25480957
"FA(15:0)","FA",449135.817779541,342562.945654297
"[TG(60:0)]_FA20:0","TAG",1689533.86668777,9632166.17420654
"FA(17:0)","FA",1270175.5542806,1053865.55856934
"Stearidonyl carnitine","CAR",3989733.91730754,3442666.87832642
"PG(42:9)","PG",215310.639856974,197152.314416504
"Stearoylcarnitine | hexadecanedioic acid mono-L-carnitine ester","CAR",5020704.39603551,4470534.96192093
"PE(22:2)","PE",0,0
"[TG(54:8)]_FA16:1","TAG",954723.786870321,807901.928540039
"3-hydroxypalmitoleoylcarnitine | Heptadecanoyl carnitine","CAR",2339170.52917353,2190400.20357132
"FA(18:4)","FA",329440.32054011,250457.252816772
"Arachidyl carnitine | O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine","CAR",1057555.99129359,1002830.8830986
"LPE(13:0)","PE",258.770021438599,94.0120048522951
"PS(O-40:4)","PS",336025.582529704,313275.648217773
"(11Z)-eicoseneoylcarnitine","CAR",970411.459592183,947001.106373596
"[TG(60:4)]_FA20:4","TAG",3145132.98310343,12111902.2763489
"12-Hydroxy-12-octadecanoylcarnitine | 3-hydroxyoctadecanoylcarnitine","CAR",1296429.29101181,1282444.90512314
"CE(15:0)","CE",654948.325645447,693659.826698303
"CE(15:1)","CE",668707.88633728,703484.055786133
"FA(22:6)","FA",2042890.05062358,1975273.03872223
"O-arachidonoylcarnitine","CAR",928547.120239258,918880.704125977
"PC(32:0)","PC",2097760.53599548,2067692.11599121
"PC(32:1)","PC",2111872.90197245,2045851.53098755
"PC(32:2)","PC",2101828.44932556,2056844.88947144
"PC(32:3)","PC",2092891.71416855,2036734.85524902
"PC(O-34:0)","PC",2200324.78468831,2168518.99529419
"PC(O-34:1)","PC",2161340.59834544,2107020.76472778
"PC(O-34:2)","PC",2159732.9372762,2110622.00046387
"PC(O-34:3)","PC",2293225.13824209,2228366.68811035
"PC(O-34:4)","PC",2402594.42341614,2294877.92589722
"PC(P-32:4)","PC",2322131.38552348,2258774.07177124
"SM(d18:0/18:0)","SM",2084635.804835,2048387.42244873
"SM(d18:1/18:0)","SM",2128286.89437103,2059824.26582031
"SM(d18:1/18:1)9Z))","SM",2093065.13551076,2044589.69926758
"SM(d18:2/18:1)","SM",2104058.6394043,2049380.81154785
"(11Z,14Z)-eicosadienoylcarnitine","CAR",885243.70600001,894249.623973846
"PC(32:4)","PC",1811284.78142293,1798349.70614014
"PI(O-42:6)","PI",918209.645744324,3657564.26095428
"LPG(15:1)","PG",287.333351135254,351.33602142334
"O-(17-carboxyheptadecanoyl)carnitine","CAR",1026812.81583532,1034359.69390335
"LPE(14:0)","PE",121.22668393453,175.548014831543
"PG(O-42:2)","PG",179173.126017253,190773.201092529
"FA(22:0)","FA",7445954.00195312,7249599.56950073
"CerP(d18:1/2:0)","Cer",329.856685638428,453.944023895264
"1-O-palmitoyl-Cer(d18:1/16:0)","Cer",0,0
"PC(34:6)","PC",2352131.30088806,2405739.24213257
"[TG(52:6)]_FA18:1","TAG",0,0
"CE(16:3)","CE",691686.129938761,763815.209689331
"FA(18:3)","FA",161483.024840673,733925.556152344
"1-O-tricosanoyl-Cer(d18:1/16:0)","Cer",511.926691691081,769.58405380249
"Cer(d18:1/2:0)","Cer",186.053342819213,363.796031188964
"1-O-behenoyl-Cer(d18:1/16:0)","Cer",635.32338587443,970.09208984375
"PC(34:5)","PC",3525271.98588053,3615116.4965332
"LPE(24:1)","PE",41497.3328895569,233001.029760742
"1-O-lignoceroyl-Cer(d18:1/16:0)","Cer",393.546700795492,746.640047454834
"FA(16:0)","FA",1895717.9734904,2240588.44768066
"PG(34:5)_2","PG",144666.896443685,172384.300341797
"PE(14:1)","PE",201.003341674805,317.552021026611
"CE(16:2) | zymosteryl palmitoleate","CE",738437.76063029,848282.699658203
"(5Z,8Z)-tetradecadienoylcarnitine","CAR",486411.91583252,538825.872485352
"1-O-stearoyl-Cer(d18:1/16:0)","Cer",987.993408838908,1464.57210235596
"cis-5-Tetradecenoylcarnitine","CAR",422133.921091716,472481.762774658
"PE(16:1)","PE",228400.376182556,223285.836190796
"LPS(13:0) | PS(12:0)_2","PS",88.7800051371256,162.584006500244
"1-O-myristoyl-Cer(d18:1/16:0)","Cer",916.433380126953,1413.72808532715
"2-Hydroxymyristoylcarnitine | 3-hydroxytetradecanoylcarnitine","CAR",386211.184894562,431353.322766876
"FA(16:1)","FA",271270.207402547,310452.582015991
"LPE(22:2)","PE",0,0
"PC(34:4)","PC",3854247.40694173,4067942.24259033
"PE(14:0)","PE",143.100011189779,303.172023773193
"LPG(15:0) | PG(O-16:0)","PG",169.67333984375,360.016026306152
"PG(P-16:0)","PG",127.7799949646,304.687997436523
"1-O-carboceroyl-Cer(d18:1/16:0)","Cer",11.0899899800618,110.147994232178
"3-hydroxyarachidonoylcarnitine","CAR",874135.351295471,986589.687757874
"Cer(d18:2/16:0)","Cer",9957.47735786438,11079.1768600464
"Cer(t18:0/18:0(2OH))","Cer",1572.22011566162,2055.94010162354
"CerP(d18:1/26:1(17Z))","Cer",0,0
"CerP(d18:1/26:0)","Cer",0,0
"SM(d18:2/20:1)","SM",3666374.03176371,3990976.32240601
"PC(34:3)","PC",3642809.37550354,3972957.51318359
"Cer(d18:0/14:0)","Cer",615.546712875366,1171.91607208252
"LPS(13:0) | PS(12:0)","PS",1.43999290466316,183.412002563477
"(9Z)-3-hydroxyoctadecenoylcarnitine","CAR",3726816.61030833,4213372.00617828
"O-(11-carboxyundecanoyl)carnitine","CAR",1548492.19053396,1764798.26093597
"[TG(52:5)]_FA18:0","TAG",0,0
"LPS(14:1) | PS(14:1)_2","PS",496.463373819987,873.400059509277
"1-O-tricosanoyl-Cer(d18:1/18:0)","Cer",0,79.0040084838867
"LPE(14:1)","PE",94.7500076293945,204.348015594482
"[TG(60:5)]_FA16:1","TAG",34787.1125348409,143713.145898438
"LPG(15:0) | PG(O-16:0)_2","PG",114.896671930949,358.188013458252
"Tetradecanoylcarnitine","CAR",1147396.76535797,1328329.92151642
"15:1 Campesteryl ester_simulated | CE(16:1)_2","CE",865064.04246521,1060518.47182922
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine","CAR",1868177.07022858,2145177.76445465
"15:1 Campesteryl ester_simulated | CE(16:1)","CE",834011.61072286,1034584.36002197
"Docosa-4,7,10,13,16-pentaenoyl carnitine | Clupanodonyl carnitine","CAR",700685.377914429,838574.244569397
"[TG(58:3)]_FA20:4","TAG",1014697.20527649,3365531.11332397
"O-behenoylcarnitine","CAR",651185.0880572,792707.286540222
"LPS(14:1) | PS(14:1)","PS",538.716680526733,945.476055145264
"(13Z,16Z)-docosadienoylcarnitine","CAR",777516.831995646,972693.411373901
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine","CAR",773282.706590017,949787.152877045
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine","CAR",1341648.3904775,1643161.22118225
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine","CAR",3420671.35970052,4180223.42871094
"[TG(48:3)]_FA18:0","TAG",216787.379389445,706597.917123413
"[TG(48:3)]_FA18:1","TAG",320780.287750244,1032740.86310577
"[TG(50:3)]_FA18:0","TAG",297139.922597249,980872.938070679
"[TG(50:4)]_FA18:0","TAG",177464.738377889,579491.020285034
"[TG(50:4)]_FA18:1","TAG",290471.735549927,958919.601977539
"[TG(52:3)]_FA20:0","TAG",119372.494419098,401265.097694397
"[TG(54:0)]_FA18:0","TAG",290792.635620117,1023109.64454956
"[TG(54:1)]_FA18:1","TAG",352208.667378743,1271034.4835083
"[TG(54:5)]_FA16:0","TAG",560071.117912292,678771.947000122
"[TG(54:6)]_FA16:1","TAG",534421.121190389,657212.812335205
"[TG(54:8)]_FA16:0","TAG",144886.403620402,510631.660064697
"[TG(56:0)]_FA16:0","TAG",7420411.41623942,23095366.5955322
"[TG(56:1)]_FA16:1","TAG",5362322.60832214,16721240.4538513
"[TG(58:1)]_FA16:1","TAG",55429.9807306925,201179.134088135
"[TG(58:6)]_FA16:0","TAG",68446.3417332967,239848.952297974
"[TG(58:6)]_FA16:1","TAG",49789.2833989461,189066.097341919
"[TG(58:7)]_FA16:1","TAG",64436.1843999227,233257.948390198
"[TG(60:3)]_FA20:4","TAG",270419.086840312,887374.646990967
