"lipid","type","mean1","mean2"
"PI(42:11)","PI",129268.128939056,455020.962275187
"PE(22:2)","PE",0,0
"SM(d16:1/22:1)","SM",3137152.58862915,2220967.03005981
"SM(d18:1/24:0)","SM",2610628.97557373,1826334.40456136
"PG(O-40:1)","PG",558585.139428711,379952.369873047
"[TG(58:2)]_FA18:2","TAG",9530422.56075439,29159736.9900411
"PC(38:0)","PC",2603889.35949707,1834941.82235972
"PE(36:4)","PE",210426.19642334,152403.959281921
"PC(O-40:3)","PC",2412540.21888123,1698622.86247762
"PI(40:0)","PI",11191319.5292953,36238382.4913508
"PC(P-40:6)","PC",2614557.8883667,1849941.88208516
"[TG(48:3)]_FA18:0","TAG",276275.662466431,855564.269091288
"[TG(58:0)]_FA18:0","TAG",11082036.5561798,33483687.5468903
"[TG(58:1)]_FA18:1","TAG",9689533.13123779,29392230.1130371
"PC(36:8)","PC",3145505.87247925,2266318.78637695
"PC(38:1)","PC",2608914.22969971,1853635.83193588
"PC(38:2)","PC",2694217.66851807,1909683.64194743
"PC(O-36:4)","PC",2976607.48608398,2144267.61073812
"PE(20:1)","PE",190567.075979614,138763.33283488
"PS(O-38:3)_2","PS",742877.24486084,514153.388254801
"SM(d18:0/24:0)","SM",2609617.1690979,1848532.70465914
"PC(O-36:1)","PC",3187350.4829834,2301328.34039307
"LPG(15:0) | PG(O-16:0)","PG",943.676050567627,333.200019200643
"PC(34:2)","PC",2684373.06323242,1947722.85426839
"[TG(52:4)]_FA18:2","TAG",262825.827392578,932690.526123047
"[TG(54:0)]_FA16:1","TAG",9770756.20263977,28839943.5955048
"PC(34:0)","PC",2782619.9901123,2023191.5745341
"PC(36:7)","PC",3484934.1190918,2542997.58103434
"PC(P-36:5)","PC",2846832.11981812,2077166.6045634
"PS(O-40:0)","PS",631250.567016602,443612.81725057
"PS(O-40:5)","PS",510516.42232666,360576.831970215
"SM(d18:1/20:0)","SM",2650010.79225464,1931011.96616618
"[TG(56:0)]_FA18:1","TAG",12936255.610083,37853887.7944209
"PC(O-40:6)","PC",2443443.68225098,1762602.5706927
"PC(34:1)","PC",2720762.42503052,1999593.72694906
"[TG(56:1)]_FA18:2","TAG",12992554.7166199,37853117.0464071
"PC(40:7)","PC",2256978.06551208,1642772.7569046
"PC(O-40:4)","PC",2417653.49011993,1754282.66788228
"SM(d18:1/24:1)15Z))","SM",2920342.47219238,2131465.98502604
"SM(d18:0/20:0)","SM",2749715.09807129,2029557.94562785
"SM(d18:2/22:1)","SM",5146135.4855835,3797792.22194417
"PC(O-36:3)","PC",2714566.10634766,2006391.88956706
"PC(O-36:5)","PC",2914026.88049316,2143951.57490031
"[TG(52:6)]_FA18:1","TAG",0,0
"PC(40:10)","PC",2418236.73504639,1767663.21429062
"PC(O-36:0)","PC",3485525.19918213,2579636.7186381
"PC(O-36:2)","PC",2629190.9432373,1941275.09350586
"PC(O-40:0)","PC",2249778.98478546,1646269.14745839
"PC(O-40:5)","PC",2416260.23737335,1765369.74106598
"PC(O-40:2)","PC",2300549.5417099,1693429.8000412
"PC(36:4)","PC",5091864.7704834,3800759.12349447
"PS(38:3)","PS",413017.083508301,298135.052276611
"LPG(14:1) | PG(14:1)","PG",516.068017578125,4783.12364260356
"PC(40:6)","PC",2127706.12623596,1575167.43762207
"SM(d18:2/24:1)","SM",3747382.47705078,2793127.17244466
"PC(40:9)","PC",2285382.24009552,1701948.9586525
"PS(36:1)","PS",1455908.76306152,1041775.97709147
"PC(38:6)","PC",4580898.05267334,3440571.29661051
"PG(O-38:1)","PG",617180.955718994,447600.344197591
"PC(38:3)","PC",3454390.38220215,2607540.88360596
"PC(O-40:1)","PC",2299018.58937683,1734165.89174398
"PC(36:6)","PC",3958695.6645752,3022413.18233236
"PC(38:5)","PC",3956538.39416504,3001023.00386556
"PC(40:8)","PC",2298691.26948242,1741145.21532313
"PI(14:1)","PI",7035.79643173218,4533.12029202779
"PE(38:1)","PE",260354.676013184,201824.690547943
"[TG(56:0)]_FA18:2","TAG",538508.865710449,1552113.82662964
"PC(36:5)","PC",4739391.07633057,3639623.52620443
"PC(40:5)","PC",1934622.41289062,1450006.61507161
"[TG(52:3)]_FA20:0","TAG",165034.81131897,486761.975001017
"PC(38:4)","PC",3942076.70540771,3030244.17771403
"PE(38:8)","PE",275334.564147949,217339.189308167
"PS(40:7)","PS",629364.446765137,478441.798624674
"PS(40:8)","PS",557370.837890625,418237.731648763
"PG(40:8)","PG",479543.080023193,359355.901672363
"[TG(52:3)]_FA18:0","TAG",259483.076467896,733692.39386495
"PS(38:1)","PS",1179853.11452637,896715.897542318
"[TG(58:1)]_FA18:2","TAG",524053.381787109,1464707.06264242
"LPG(14:1) | PG(14:1)_2","PG",332.760025024414,4030.10363705953
"FA(20:5)","FA",252804.470944214,264680.191795985
"PC(O-38:0)","PC",4005199.546521,3163336.9196167
"[TG(58:0)]_FA18:1","TAG",529597.906445313,1470124.58180491
"PC(38:7)","PC",3930312.77770996,3120040.32613118
"LPE(16:0)","PE",111175.212106323,362728.851165771
"PC(36:3)","PC",3627223.1133667,2898650.35221354
"LPE(22:2)","PE",0,1989.85650889079
"PG(38:3)","PG",373514.38425293,289533.470347087
"PE(O-38:2)","PE",228845.587280273,187843.066724141
"[TG(52:4)]_FA18:1","TAG",258403.099490356,718059.491495768
"[TG(54:7)]_FA20:4","TAG",294018.524743652,819092.850331624
"PC(40:4)","PC",1773042.55863037,1349195.865743
"PE(O-36:2)","PE",231866.230480957,197926.93106842
"Cer(t18:0/16:0(2OH))","Cer",10883.224822998,6804.28047943115
"[TG(56:0)]_FA16:1","TAG",430688.919171143,1144951.36558024
"PI(38:0) | PI(P-40:6)_2","PI",213471.395755005,653820.373184204
"PS(38:8)","PS",637938.775170898,507992.930053711
"[TG(52:5)]_FA18:0","TAG",0,0
"LPI(20:2) | PI(20:2)","PI",137204.710891724,433137.294115702
"PE(18:1)","PE",229218.26373291,191495.729728699
"PG(38:8)","PG",530336.261328125,417911.439280192
"PC(O-38:3)","PC",3115524.23774414,2570181.17199707
"PE(38:5)","PE",169368.847964478,144203.003065745
"[TG(56:2)]_FA18:2","TAG",568096.191888428,1509006.1419576
"PE(36:1)","PE",310748.853768921,265288.118189494
"PG(38:1)","PG",1212424.11781006,956058.877176921
"SM(d16:1/24:1)","SM",3091389.33447266,2563429.59831746
"PG(P-16:0)","PG",542.392022705078,209.086661656698
"LPI(15:1) | PI(P-16:0)_2","PI",303523.880152893,920202.864072164
"PC(38:9)","PC",3201503.01333008,2667820.54361979
"PC(O-38:2)","PC",3222635.11213379,2689034.31005859
"SM(d16:1/24:0)","SM",2892162.73070068,2417471.97033691
"[TG(52:5)]_FA18:2","TAG",199848.4690979,549850.699254354
"PG(O-40:0)","PG",489727.811254883,397590.927663167
"PC(36:1)","PC",2910824.10855103,2438359.9495341
"PC(36:0) | PC(P-38:6)_2","PC",2913168.87381592,2447940.38517253
"[TG(56:1)]_FA18:1","TAG",588155.722503662,1536876.19904582
"PI(40:1)","PI",107154.495000458,320446.494584401
"LPI(15:1) | PI(P-16:0)","PI",298655.616809082,906862.350779216
"PE(O-38:4)","PE",132721.245220947,114736.604133606
"LPI(14:1)","PI",6198.05641174316,4463.84698740641
"SM(d18:0/22:0)","SM",2926383.98292847,2477889.35153198
"[TG(54:2)]_FA20:0","TAG",208189.605197144,564918.579020182
"PC(36:0) | PC(P-38:6)","PC",2964922.21859131,2515311.10736084
"PC(O-38:4)","PC",3019291.34056396,2549366.66951497
"PC(36:2)","PC",2892109.16726074,2452300.15209961
"PC(O-38:1)","PC",3430581.38059082,2900414.41975911
"LPG(15:1)","PG",666.044034576416,342.420018513997
"PE(36:8)","PE",185502.749984741,163772.834111532
"PG(40:7)","PG",508031.53147583,418841.958190918
"PC(O-38:6)","PC",2939964.8418457,2505481.22143555
"PC(38:8)","PC",3390539.97399902,2882499.88067627
"PE(P-40:7)","PE",257817.981687927,226980.087231954
"LPI(20:2) | PI(20:2)_2","PI",137309.463233948,423721.223018646
"PC(O-38:5)","PC",2961402.42351074,2532356.95749919
"PE(O-36:1)","PE",174520.456118774,155437.540509542
"PE(O-38:3)","PE",152063.751266479,134166.07602946
"PG(42:9)","PG",211290.853216553,173030.454711914
"PE(O-38:1)","PE",265926.855541992,231946.403137207
"FA(15:0)","FA",461826.310858154,350776.214726766
"[TG(52:2)]_FA20:0","TAG",162351.993081665,484156.802739461
"PE(O-38:5)","PE",128587.576727295,114005.081471761
"FA(18:3)","FA",342951.883974457,800310.917775472
"PI(O-42:4)","PI",101516.238703156,285295.045573552
"PI(38:0) | PI(P-40:6)","PI",185045.512667847,533393.40473938
"[TG(52:2)]_FA18:1","TAG",350071.113500977,995531.900939941
"PE(34:1)","PE",165895.44836731,153363.387280782
"PE(38:9)","PE",228112.247662354,203019.520868937
"PE(O-36:3)","PE",203371.348573303,188311.478240967
"FA(18:4)","FA",658126.833042908,1537763.83945719
"[TG(56:0)]_FA18:0","TAG",722424.109072876,1788358.9691213
"[TG(56:6)]_FA20:4","TAG",340016.35045166,992199.240356445
"FA(20:4)","FA",138544.433746338,158932.318787893
"PE(O-36:5)","PE",111079.192857361,102035.877120972
"[TG(54:4)]_FA18:2","TAG",272162.376831055,857194.372721354
"PG(36:1)","PG",1510554.90803223,1233911.27258301
"PC(32:5)","PC",1719646.56322632,1512739.91708374
"[TG(54:5)]_FA16:0","TAG",720798.088571167,619951.716217041
"[TG(58:3)]_FA18:2","TAG",237170.460827637,599864.404724121
"PG(32:5)","PG",80119.825769043,258693.232177734
"[TG(54:6)]_FA16:1","TAG",695937.358502197,601676.095621745
"[TG(58:2)]_FA18:1","TAG",248767.796972656,624387.274215698
"PI(32:3)","PI",49406.4316711426,165578.797411601
"[TG(58:1)]_FA18:0","TAG",305199.712283325,749819.114552816
"FA(24:1)","FA",1235234.82871552,3268341.07036591
"[TG(50:3)]_FA18:1","TAG",273637.856182861,697916.297353109
"[TG(52:1)]_FA18:0","TAG",319120.677929687,851871.766418457
"PE(O-38:0)","PE",211306.738943481,197617.354604085
"[TG(54:5)]_FA20:4","TAG",212620.457470703,638048.849650065
"[TG(54:7)]_FA18:0","TAG",325925.794262695,788624.998942057
"LPI(20:0) | PI(20:0)_2","PI",165459.779043579,486877.896153768
"[TG(56:0)]_FA20:0","TAG",791685.496923828,1994411.52829997
"[TG(52:3)]_FA18:2","TAG",245466.169311523,736723.585327148
"FA(17:0)","FA",1040033.24205933,870796.672154745
"[TG(54:8)]_FA18:1","TAG",380104.945703125,923556.19724528
"CE(18:2) | zymosteryl oleate | 16:1 Stigmasteryl ester | 16:2 Sitosteryl ester","CE",1665152.3527359,4407248.95518239
"PE(38:6)","PE",186868.648883057,179395.079874674
"PE(O-36:4)","PE",149664.879205322,143899.260030111
"[TG(60:9)]_FA20:4","TAG",297871.598742676,719808.763259888
"[TG(56:2)]_FA20:4","TAG",133928.336474609,340796.257878621
"[TG(48:2)]_FA18:1","TAG",341196.384358215,813810.55804189
"CE(18:3) | 16:2 Stigmasteryl ester | 16:3 Sitosteryl ester","CE",1743123.24993057,4586099.21740977
"PI(30:3)","PI",58051.1724647522,169544.628389994
"16:3 Stigmasteryl ester","CE",1764384.17342682,4598218.09704844
"LPE(13:0)","PE",255.032016754151,128.076676050822
"LPI(22:2) | PI(22:2)_2","PI",58101.4155532837,175872.34328715
"[TG(50:2)]_FA18:0","TAG",252760.965917969,620319.623819987
"16:3 Campesteryl ester","CE",1135654.52929535,2984826.6934789
"[TG(54:4)]_FA16:0","TAG",2259745.65438538,2018140.85057068
"[TG(54:5)]_FA16:1","TAG",2195023.36303711,1964226.36423238
"[TG(54:0)]_FA16:0","TAG",611242.498120117,1429103.27837118
"16:0 Campesteryl ester | CE(17:0)_2","CE",1311592.06157989,3439281.42586009
"[TG(60:5)]_FA20:0","TAG",280201.61774292,668927.524871826
"PG(36:2)","PG",677721.830944824,609741.713562012
"PI(O-34:1) | PI(P-34:0)","PI",173777.789147949,498564.331863403
"PE(38:2)","PE",194656.941783142,189231.806060791
"PS(32:5)","PS",101557.634411621,299344.675059001
"CE(17:1) | 16:1 Campesteryl ester_2","CE",1150359.94994507,3017297.33252462
"PI(42:3)","PI",131930.144241333,360790.633566538
"16:2 Campesteryl ester","CE",1166622.9534729,3032508.59239197
"PI(32:4)","PI",44980.5987808228,132995.115402222
"[TG(48:1)]_FA18:0","TAG",332830.473269653,778864.169525146
"[TG(54:3)]_FA20:0","TAG",224485.043707275,536562.202473958
"[TG(50:1)]_FA18:0","TAG",336073.935632324,853999.519002279
"PG(O-38:4)","PG",211501.45111084,193354.30947876
"PS(O-42:4)","PS",256796.685375977,237758.381815592
"1-O-palmitoyl-Cer(d18:1/16:0)","Cer",487.076054382324,105.110013961792
"16:0 Campesteryl ester | CE(17:0)","CE",1333368.92279892,3426615.65319443
"CE(17:1) | 16:1 Campesteryl ester","CE",1202624.41674805,3093054.71515401
"PE(36:0)","PE",191798.83474884,190325.750640869
"[TG(52:6)]_FA18:0","TAG",169076.312237549,410061.141977946
"PG(O-42:2)","PG",180481.849041748,168072.015446981
"PE(20:5)","PE",51476.86875,73846.1547851562
"PE(38:7)","PE",230706.244578552,227075.411969503
"PE(P-36:6)","PE",201199.256698608,201984.720640818
"LPI(20:0) | PI(20:0)","PI",173439.565841675,476114.548624674
"17:1 Campesteryl ester_simulated | CE(18:1) | 16:0 Stigmasteryl ester | 16:1 Sitosteryl ester_2","CE",1451688.54012222,3660310.32661819
"[TG(54:3)]_FA18:1","TAG",485136.667651367,1251788.73748779
"17:1 Campesteryl ester_simulated | CE(18:1) | 16:0 Stigmasteryl ester | 16:1 Sitosteryl ester","CE",1445588.3106926,3637081.60095342
"[TG(56:4)]_FA18:0","TAG",1544913.16683044,1438206.19605001
"[TG(54:5)]_FA18:2","TAG",215592.775415039,545877.786407471
"PE(O-34:1)","PE",113939.779562378,118253.231208801
"PI(P-42:4)","PI",64831.5399963379,178446.464042664
"PS(P-42:4)","PS",264634.039831543,250678.192637126
"[TG(54:2)]_FA18:0","TAG",479077.872851563,1219952.83668009
"LPI(22:2) | PI(22:2)","PI",59195.2889923096,177781.863067627
"FA(17:1)","FA",593396.104949951,1654983.74016825
"FA(28:0)","FA",2556848.51153793,5921389.64376831
"[TG(60:3)]_FA18:0","TAG",275267.770214844,642903.132013957
"PI(O-34:3) | PI(P-34:2)","PI",70896.9729179382,193522.859127045
"[TG(60:11)]_FA18:0","TAG",247101.032939148,546396.353736877
"LPE(14:1)","PE",64.9120063781738,61.6333433787028
"LPI(16:0) | PI(16:0)","PI",237852.224298096,622337.16696167
"[TG(58:1)]_FA20:4","TAG",144786.514709473,338636.466201782
"[TG(60:12)]_FA18:1","TAG",181383.858010864,412677.321909587
"PI(O-32:1) | PI(P-32:0)","PI",138753.345001221,377799.031651815
"PS(42:11)","PS",277641.794824219,268137.337270101
"[TG(48:3)]_FA16:0","TAG",81849.5341430664,210852.237055461
"LPI(22:1) | PI(22:1)","PI",94865.0829406738,279611.469584147
"[TG(56:1)]_FA16:0","TAG",246476.74937439,552648.651016235
"PS(36:2)","PS",645695.702307129,624828.774027506
"PI(40:2)","PI",113170.336251068,275593.032550812
"LPI(20:4) | PI(20:4)_2","PI",49802.6955688477,142875.273761749
"PE(22:4)","PE",46296.7278045654,49704.8509610494
"LPI(22:1) | PI(22:1)_2","PI",86871.2555305481,259704.277422587
"LPI(16:0) | PI(16:0)_2","PI",240722.49152832,617232.441864014
"PS(O-40:2)","PS",251591.974816895,245723.671803792
"[TG(50:2)]_FA18:1","TAG",394164.036914063,989765.036702474
"lanosteryl palmitoleate | 18:2 Campesteryl ester","CE",1540909.91660995,3713200.23905818
"LPI(20:3) | PI(20:3)_2","PI",55833.6717987061,164671.487419128
"Cer(d18:1/18:0)","Cer",30887.5220077515,59558.2671902974
"LPC(2:0)","PC",139911.216854858,333655.746111552
"PI(42:10)","PI",53069.9357025146,136064.510298411
"PE(O-30:0)","PE",162636.46015625,173455.89230601
"PS(40:5)","PS",354129.790808105,344671.462605794
"18:1 Campesteryl ester","CE",1492810.09076004,3593710.79018021
"PE(O-40:2)","PE",109738.224084473,115427.451459249
"CerP(d18:1/26:1(17Z))","Cer",0,0
"18:3 Campesteryl ester","CE",1541292.88215561,3673814.35735194
"PE(40:8)","PE",179214.380375671,186626.839590708
"PI(O-30:1)","PI",214480.291313171,544876.315607707
"[TG(60:4)]_FA18:1","TAG",229056.990429687,540472.495361328
"[TG(48:3)]_FA18:2","TAG",276093.94465332,619735.858083089
"[TG(48:2)]_FA16:1","TAG",226398.96427002,536471.899831136
"PI(P-32:1)","PI",49328.0116546631,147291.780235291
"PE(36:3)","PE",168414.25355835,176080.560677846
"[TG(48:1)]_FA16:0","TAG",226931.975476074,534673.672810872
"[TG(56:7)]_FA20:0","TAG",295318.261096191,650018.56161499
"PE(O-38:6)","PE",146251.219112396,153989.236447652
"PE(40:5)","PE",145445.210668945,153996.360394796
"PS(28:1)","PS",696407.387597656,685526.665283203
"LPI(20:4) | PI(20:4)","PI",50328.7682373047,141211.667110443
"PG(O-40:2)","PG",221434.799658203,221038.137858073
"[TG(54:3)]_FA20:4","TAG",204607.532659912,469149.428771973
"[TG(50:4)]_FA16:1","TAG",172683.063781738,410849.747385661
"PE(40:4)","PE",113519.476498413,121938.414296468
"[TG(60:5)]_FA18:2","TAG",223733.472619629,521012.287033081
"[TG(50:4)]_FA18:2","TAG",221737.954382324,537622.717102051
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated | 17:0 sitosteryl ester_simulated_2","CE",1304438.66964264,3055788.1526947
"PE(40:2)","PE",160961.312863159,174487.835887909
"PI(32:5)","PI",51375.8756866455,141656.263843536
"[TG(52:5)]_FA20:4","TAG",255760.713342285,570753.25567627
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated | 17:0 sitosteryl ester_simulated","CE",1308050.02451096,3066606.81443405
"PE(18:0)","PE",114688.784631348,123995.505307515
"[TG(54:4)]_FA18:1","TAG",325401.703320312,732652.91511027
"[TG(60:8)]_FA20:4","TAG",199451.674539185,429963.421844482
"PC(50:0)","PC",48822.2509414673,110043.900531133
"PE(38:3)","PE",128911.165629578,139198.523930868
"LPC(15:1)","PC",296944.328778076,653290.734690348
"LPS(12:0) | PS(12:0)_2","PS",21887.4655990601,54230.3869183858
"[TG(54:8)]_FA20:0","TAG",220054.799060059,477523.885111491
"PE(38:0)","PE",208355.434594727,222808.29196167
"LPC(15:0)","PC",282498.722494507,620830.887924194
"PI(P-42:2)","PI",46892.7472846985,119572.128462474
"PI(30:4)","PI",42669.6751037598,117693.727917989
"[TG(60:1)]_FA18:2","TAG",81301.7492874146,185985.172744751
"LPE(18:0)","PE",119022.924621582,130390.231887817
"LPE(20:5)","PE",30441.5961914062,50872.2946777344
"[TG(50:3)]_FA16:0","TAG",178314.852557373,415810.588902791
"LPI(22:0) | PI(22:0)_2","PI",174076.825559235,470721.823992411
"PG(38:2)","PG",1665013.6130127,1714874.95276896
"PI(28:0)","PI",175790.829118347,459077.494023641
"PI(30:1)","PI",146965.178863525,386308.95068868
"[TG(54:3)]_FA18:0","TAG",320744.352508545,715185.734130859
"[TG(50:1)]_FA18:1","TAG",154629.690991211,342123.087895711
"LPI(20:5) | PI(20:5)_2","PI",42550.0152191162,134264.986221313
"PI(30:2)","PI",64316.8202987671,181333.273162206
"PS(38:5)","PS",263653.613659668,270371.09383138
"PC(44:5)","PC",76245.0654769898,77326.5253543854
"[TG(52:0)]_FA18:1","TAG",154872.258578491,344986.941980998
"Cer(d14:1(4E)/22:1(13Z)(2OH))","Cer",190416.093351746,383674.789913813
"PE(P-16:0)","PE",176243.650735474,410227.909642537
"PS(O-38:4)","PS",212868.239892578,219460.587534587
"[TG(52:1)]_FA20:4","TAG",125287.685508728,275123.704587301
"1-O-behenoyl-Cer(d18:1/16:0)","Cer",1008.40807952881,986.853413263957
"Cer(d18:1/2:0)","Cer",315.300017547607,396.340031305948
"FA(26:0)","FA",2442278.90402527,5268112.42730649
"PG(36:3)","PG",313008.372296143,320639.639546712
"PI(34:3)","PI",74920.717086792,191506.043739319
"[TG(56:5)]_FA18:0","TAG",565119.733868408,572137.916346232
"[TG(56:7)]_FA20:4","TAG",325952.928076172,717116.426147461
"[TG(52:0)]_FA18:0","TAG",315076.290283203,730997.004699707
"[TG(48:0)]_FA18:0","TAG",255571.134851074,560526.655151367
"1-O-lignoceroyl-Cer(d18:1/16:0)","Cer",649.740030670166,683.820052464803
"[TG(54:7)]_FA18:1","TAG",148973.214013672,325288.466033936
"[TG(60:0)]_FA18:1","TAG",84791.9780525207,186969.762961706
"PI(P-28:0)","PI",288688.00696106,675602.626049042
"[TG(48:0)]_FA18:2","TAG",93353.7501617432,216397.356664022
"[TG(52:4)]_FA20:0","TAG",88308.3940750122,195081.045921326
"[TG(60:0)]_FA20:4","TAG",117510.060044098,251484.934017181
"Cer(d18:1/18:1(9Z))","Cer",31057.6742835999,56320.3542582194
"CerP(d18:1/12:0)","Cer",30747.2980949402,56052.4167982737
"CerP(d18:1/26:0)","Cer",0,0
"LPE(20:1)","PE",124472.977841187,137264.749397278
"LPE(14:0)","PE",175.136025238037,269.883368174235
"PC(44:8)","PC",83898.9054992676,86938.0333048503
"[TG(54:7)]_FA20:0","TAG",432000.20279541,885411.403879801
"[TG(60:4)]_FA20:4","TAG",5660448.54094849,11498599.2367452
"PC(44:3)","PC",68552.3330078125,70771.3851013184
"PC(52:0)","PC",31592.9023963928,70582.6112035116
"PC(O-44:3)","PC",93322.7515533447,96756.3098907471
"PE(40:9)","PE",103074.422821045,115605.024162292
"LPC(7:0)","PC",26860.8344116211,38956.1936340332
"PG(28:1)","PG",578610.511279297,599848.899983724
"Stearidonyl carnitine","CAR",3984877.71079712,4287360.52102661
"[TG(52:3)]_FA20:4","TAG",164348.135467529,350463.132741292
"[TG(54:0)]_FA18:0","TAG",471026.865783691,1020115.08087158
"FA(16:0)","FA",1762795.00405273,1864325.42970784
"[TG(60:0)]_FA18:0","TAG",176398.844348145,366340.061983109
"PE(O-36:0)","PE",122415.168099976,137898.556589762
"PE(38:0)_2","PE",210555.322988129,233318.262746175
"[TG(54:8)]_FA18:2","TAG",126711.785986328,285653.550684611
"[TG(60:1)]_FA20:4","TAG",219835.856149292,449563.579129537
"O-oleoylcarnitine | Elaidic carnitine","CAR",3328403.59842453,3642399.52894211
"[TG(54:8)]_FA18:0","TAG",256576.897711182,537160.569824219
"Cer(d14:1(4E)/22:0(2OH))","Cer",184268.861141968,362397.147164027
"PE(14:1)","PE",146.168002319336,249.930007298787
"1-O-tricosanoyl-Cer(d18:1/16:0)","Cer",824.348054504395,901.91007232666
"[TG(52:1)]_FA18:1","TAG",389310.975097656,914798.466674805
